id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-449968,2024-01-03,000001,Vente,640000,50,,AV DE LA TRANCHEE,4785,37100,37261,Tours,37,,,37261000BZ0198,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,185,0,S,sols,,,188,0.683133,47.403466
2024-449968,2024-01-03,000001,Vente,640000,,,AV DE LA TRANCHEE,4785,37100,37261,Tours,37,,,37261000BZ0285,,,,,,,,,,,,,0,,,,,S,sols,,,128,0.68308,47.403629
2024-449971,2024-01-04,000001,Vente,224000,90,,RUE FRANCOIS RICHER,1930,37000,37261,Tours,37,,,37261000ER0701,,,24,,,,,,,,,,1,2,Appartement,67,3,,,,,,0.66957,47.383614
2024-449971,2024-01-04,000001,Vente,224000,90,,RUE FRANCOIS RICHER,1930,37000,37261,Tours,37,,,37261000ER0701,,,12,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.66957,47.383614
2024-449972,2024-01-04,000001,Vente,180000,3,,RUE VIALA,4940,37000,37261,Tours,37,,,37261000CL0269,,,,,,,,,,,,,0,2,Appartement,34,2,S,sols,,,138,0.705295,47.388845
2024-449972,2024-01-04,000001,Vente,180000,3,,RUE VIALA,4940,37000,37261,Tours,37,,,37261000CL0269,,,,,,,,,,,,,0,2,Appartement,34,2,S,sols,,,138,0.705295,47.388845
2024-449972,2024-01-04,000001,Vente,180000,3,,RUE VIALA,4940,37000,37261,Tours,37,,,37261000CL0269,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,138,0.705295,47.388845
2024-449975,2024-01-05,000001,Vente,116000,2,,ALL VASCO DE GAMA,4882,37200,37261,Tours,37,,,37261000DH0414,,,33,70.55,36,,,,,,,,2,3,Dépendance,,0,,,,,,0.708307,47.358541
2024-449975,2024-01-05,000001,Vente,116000,2,,ALL VASCO DE GAMA,4882,37200,37261,Tours,37,,,37261000DH0414,,,33,70.55,36,,,,,,,,2,2,Appartement,71,4,,,,,,0.708307,47.358541
2024-449975,2024-01-05,000001,Vente,116000,2,,ALL VASCO DE GAMA,4882,37200,37261,Tours,37,,,37261000DH0414,,,2,26,,,,,,,,,1,3,Dépendance,,0,,,,,,0.708307,47.358541
2024-449981,2024-01-05,000001,Vente,128950,65,,RUE DU COMMERCE,1190,37000,37261,Tours,37,,,37261000DZ0364,,,10,33.03,20,,,,,,,,2,2,Appartement,35,1,,,,,,0.683604,47.394991
2024-449982,2024-01-09,000001,Vente,209000,11,,ALL DUMONT D URVILLE,1575,37200,37261,Tours,37,,,37261000DI0083,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,348,0.706138,47.356914
2024-449982,2024-01-09,000001,Vente,209000,11,,ALL DUMONT D URVILLE,1575,37200,37261,Tours,37,,,37261000DI0083,,,,,,,,,,,,,0,1,Maison,64,3,S,sols,,,348,0.706138,47.356914
2024-449990,2024-01-10,000001,Vente,140000,24,,RUE DU CAPITAINE POUGNON,0820,37000,37261,Tours,37,,,37261000EV0126,,,11,80.2,,,,,,,,,1,3,Dépendance,,0,,,,,,0.673879,47.380917
2024-449990,2024-01-10,000001,Vente,140000,24,,RUE DU CAPITAINE POUGNON,0820,37000,37261,Tours,37,,,37261000EV0126,,,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.673879,47.380917
2024-449990,2024-01-10,000001,Vente,140000,24,,RUE DU CAPITAINE POUGNON,0820,37000,37261,Tours,37,,,37261000EV0126,,,11,80.2,,,,,,,,,1,2,Appartement,68,4,,,,,,0.673879,47.380917
2024-449990,2024-01-10,000001,Vente,140000,26,,RUE DU CAPITAINE POUGNON,0820,37000,37261,Tours,37,,,37261000EV0126,,,240,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.673879,47.380917
2024-449993,2024-01-10,000001,Vente,225500,2,,AV DU CHAMP CHARDON,0879,37100,37261,Tours,37,,,37261000BV0241,,,15,,,,,,,,,,1,1,Maison,67,4,,,,,,0.694426,47.415947
2024-450005,2024-01-05,000001,Vente en l'état futur d'achèvement,310200,37,,RUE DU PERE GORIOT,3835,37100,37261,Tours,37,,,37261000AT0559,,,75,,,,,,,,,,1,,,,,,,,,,0.70174,47.419238
2024-450005,2024-01-05,000001,Vente en l'état futur d'achèvement,310200,37,,RUE DU PERE GORIOT,3835,37100,37261,Tours,37,,,37261000AT0559,,,14,,,,,,,,,,1,,,,,,,,,,0.70174,47.419238
2024-450005,2024-01-05,000001,Vente en l'état futur d'achèvement,310200,37,,RUE DU PERE GORIOT,3835,37100,37261,Tours,37,,,37261000AT0559,,,71,,,,,,,,,,1,,,,,,,,,,0.70174,47.419238
2024-450005,2024-01-05,000001,Vente en l'état futur d'achèvement,310200,37,,RUE DU PERE GORIOT,3835,37100,37261,Tours,37,,,37261000AT0559,,,115,,,,,,,,,,1,,,,,,,,,,0.70174,47.419238
2024-450008,2024-01-04,000001,Vente,271000,3,,RUE DE LA CLOCHE,1150,37000,37261,Tours,37,,,37261000DX0105,,,19,,8,55.1,,,,,,,2,2,Appartement,56,2,,,,,,0.692371,47.395295
2024-450008,2024-01-04,000001,Vente,271000,3,,RUE DE LA CLOCHE,1150,37000,37261,Tours,37,,,37261000DX0105,,,1,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.692371,47.395295
2024-450011,2024-01-05,000001,Vente,70500,21,,RUE MICHEL COLOMBE,3430,37000,37261,Tours,37,,,37261000DS0899,,,20,17.14,,,,,,,,,1,2,Appartement,18,1,,,,,,0.690921,47.381366
2024-450012,2024-01-05,000001,Vente,135000,94,,RUE FEBVOTTE,1830,37000,37261,Tours,37,,,37261000DR0391,,,20,,,,,,,,,,1,,,,,J,jardins,POTAG,Jardin potager,68,0.68716,47.376305
2024-450012,2024-01-05,000001,Vente,135000,94,,RUE FEBVOTTE,1830,37000,37261,Tours,37,,,37261000DR0391,,,11,,16,,2,35.6,,,,,3,2,Appartement,39,2,,,,,,0.68716,47.376305
2024-450030,2024-01-12,000001,Vente,100000,125,,RUE GEORGE SAND,2180,37000,37261,Tours,37,,,37261000DT0479,,,104,28.99,135,,,,,,,,2,2,Appartement,30,1,,,,,,0.688028,47.383018
2024-450034,2024-01-12,000001,Vente,338095,125,,RUE DU PLAT D ETAIN,4000,37000,37261,Tours,37,,,37261000ER0458,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,318,0.669101,47.383305
2024-450034,2024-01-12,000001,Vente,338095,125,,RUE DU PLAT D ETAIN,4000,37000,37261,Tours,37,,,37261000ER0458,,,,,,,,,,,,,0,1,Maison,108,4,S,sols,,,318,0.669101,47.383305
2024-450035,2024-01-12,000001,Vente,81750,74,,RUE RONSARD,4425,37100,37261,Tours,37,,,37261000AV0571,,,59,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.705606,47.41782
2024-450035,2024-01-12,000001,Vente,81750,74,,RUE RONSARD,4425,37100,37261,Tours,37,,,37261000AV0571,,,9,,,,,,,,,,1,2,Appartement,25,1,,,,,,0.705606,47.41782
2024-450036,2024-01-11,000001,Vente,510000,173,,BD JEAN ROYER,2721,37000,37261,Tours,37,,,37261000ES0661,,,,,,,,,,,,,0,1,Maison,65,3,S,sols,,,142,0.681416,47.381969
2024-450037,2024-01-12,000001,Vente,510000,10,B,RUE JEAN MESSIRE,2720,37000,37261,Tours,37,,,37261000EO0568,,,3,233,,,,,,,,,1,3,Dépendance,,0,,,,,,0.671475,47.38895
